item_number,customer_id,offer
294232222075,swangin68,3.9
294232222075,afia224,3.65
294232222075,swangin68,3
184904048618,charaly-308,3
184904048618,nanticokecottageantiques,3.25
184904048577,nanticokecottageantiques,3
184904048577,mathis1945,3.75
184904048577,charaly-308,4
184904048577,mathis1945,4.25
294242970929,paulxx,3.27
294242970929,klangr,3.52
294242970874,mathis1945,2.99
294250987465,rue_hunter,2.99
294250987465,davek218,3.24
294250987659,mathis1945,2.99
184914293606,steveonlythebest,2.99
184914293606,deanntucke,3.24
184914292964,steveonlythebest,2.99
294252411478,flash44light,3.26
294252411478,mathis1945,3.5
294252411478,flash44light,3.75
294252411444,rravenn2,2.99
294252411444,flash44light,3.51
294252411444,rravenn2,3.76
294255922008,donkarosa,3
294255922008,22stone12,3.29
294255922008,donkarosa,3.53
294255922008,22stone12,3.78
294255923504,steveonlythebest,2.99
294255923504,fastone77,4.04
294255923504,nolffliz,4.29
294266694710,olddogscott,3
294266694710,hmcm2911,3.25
294266695130,towncar_lady,3.89
294266695130,meltric,4
294266695130,towncar_lady,4.25
184936772463,towncar_lady,3.88
184936772463,meltric,4
184936772463,towncar_lady,4.25
184936772496,flash44light,3
184936772496,towncar_lady,3.25
184939321231,confed-92,2.99
294269647104,lovemyhubba8,3.5
294269647104,pepperbellyscrapbooking,3.88
294269647104,lovemyhubba8,4.13
184945583877,mathis1945,2.99
294275251007,st5300,2.99
294275255011,st5300,2.99
294277434818,mathis1945,3
294277434818,talonanderson,4
294277434818,st5300,4
294277434838,st5300,3
294277434838,jaymatt1157,3.24
294277434838,bmn12360,3.76
294277434838,st5300,4
294283087941,keith harms,2.99
294283094243,jetsn-31,4.25
294297026183,buddhaboyy67,3.24
294297027558,ntaddy,2.99
294289528699,raine9dreamer,3.51
184871234654,grriata,3.2
184871234654,danelliott65,3.51
184871234654,donnihallma0,3.76
184871243405,donnihallma0,4
184871243405,danelliott65,3.75
184871243405,grriata,3.5
184871243405,danelliott65,3.5
184871243405,bmn12360,3
184902396418,afia224,2.99
184902398380,baby-pigs,3.25
184902398380,afia224,3.05
184943519308,whatcharacter,4.03
184943519308,us.cochr,4
184943519308,strput48,2.99
184943521426,theheadnodder1,3.75
184943521426,st5300,3.5
184943521426,normy1955,3
184962313381,barwillidanie,2.99
184962314316,renknight,2.99
184953409300,jeanneangerstien,2.99
184953411092,jetsn-31,2.99
184955728815,us.cochr,3.25
184957582693,cocacolachristmas,4.05
184957582693,jeanneseverything,4
184957582693,gracefellowship,3.5
184957582693,jeffreyh911,3.33
184957582693,gracefellowship2,2.99
294297026183,barwillidanie,2.99
294289528699,mover,3.26
294283094243,us.cochr,4
294283094243,jetsn-31,4
294283094243,jetsn-31,3
184970848494,makawee09,2.99
294302951549,tonygk,3.5
294302951549,markhayesinc,3.75
294302945114,tonygk,2.99
294302944825,kristnewso,3
294302944825,kristnewso,3.5
294302944825,nancy197111,3.5
294302944825,kristnewso,3.75
184970882112,trishz,3.09
184970882112,nancy197111,3.59
184970882112,22stone12,4
184970882112,nancy197111,4.09
184970882049,trishz,3.09
184970882049,22stone12,3.34
184970881984,barwillidanie,2.99
184970881884,darad-8595,3
184970881884,22stone12,4
184970881884,darad-8595,4.25
184970881519,trishz,3.09
184970881519,nancy197111,3.5
184970881519,horsepower-junkie!,3.59
184970881519,nancy197111,3.84
184896586155,jcbskb,2.99
294302966485,barwillidanie,2.99
294302966453,bmn12360,2.99
294302966316,horsepower-junkie!,2.99
294302966248,horsepower-junkie!,2.99